OrganizationIdentifier,OrganizationFormalName,ProjectIdentifier,ProjectName,ProjectDescriptionText,SamplingDesignTypeCode,QAPPApprovedIndicator,QAPPApprovalAgencyName,ProjectFileUrl,ProjectMonitoringLocationWeightingUrl
11NPSWRD_WQX,National Park Service Water Resources Division,EUON0001,Spring Schedule Data Sheet from 1980 in NPS-WRD,"Data are from a spring owned by the National Park Service that is located approximately 1000 feet southwest of Eugene O'Neil National Historic Site.  The data are from the Central Files Archive at the National Park Service Water Resources Division in Fort Collins, Colorado.  The spring appears to have been developed years ago by a French Drain System and has a series of pipes which deliver water by free fall into a circular holding well, where it is then piped to three redwood storage tanks.",,N,,,
CEDEN,California State Water Resources Control Board,RWB2_TMDL_HMB_2019,RWB2 Half Moon Bay Pathogen TMDL Study 2019,RWB2 Half Moon Bay Pathogen TMDL Study 2019,,,,,
NARS_WQX,EPA National Aquatic Resources Survey (NARS),NARS_NRSA2008_2009,National Rivers and Streams Assessment,National Aquatic Resource Surveys (NARS) 2008-2009 National Rivers and Streams Assessment (NRSA),,,,,
CEDEN,California State Water Resources Control Board,SWB_SPoT_2010,Statewide Stream Pollution Trends Study 2010,Stream Pollution Trends Study,,,Not Recorded,,
CEDEN,California State Water Resources Control Board,SJC_WY15_Q1,"SJC, Order R5-2014-0029, Jun 1st 2015, WY15, Q1","San Joaquin County and Delta Water Quality Coalition Monitoring Under ILRP Order R5-2008-005, June 1st 2015 Submittal, Water Year 2015, Quarter 1, Sampling Dates Oct-Dec 2014",,,,,
CEDEN,California State Water Resources Control Board,WES_Sep14-Feb15,"WES Order R5-2014-0002, Jun 15th 2015, Sep14-Feb15","Westside San Joaquin River Watershed Coalition Monitoring Under ILRP Order R5-2014-0002, June 15th 2015 Submittal , Semi Annual, Sample Dates Sep14- Feb15",,,,,
CEDEN,California State Water Resources Control Board,SMCARM_2017,San Mateo Creek Aquatic Resource Monitoring - 2017,San Mateo Creek Aquatic Resource Monitoring - 2017,,,,,
OST_SHPD,"USEPA, Office of Water, Office of Science and Technology, Standards and Health Protection Division",USEPANLFTS,National Lake Fish Tissue Study,"This study is a national screening-level survey of chemical residues in fish tissue from lakes and reservoirs in the conterminous United States (lower 48 states), excluding the Laurentian Great Lakes and Great Salt Lake. It is unique among national assessments of fish contamination in lakes because the sampling sites were selected according to a statistical (random) design. Study results allow EPA to estimate the percentage of lakes and reservoirs in the United States with chemical concentrations in fish tissue that are above levels of potential concern for humans or for wildlife that eat fish. This study also includes the largest set of chemicals ever studied in fish. Whole fish and fillets were analyzed for 268 persistent, bioaccumulative, and toxic (PBT) chemicals, including mercury, arsenic, dioxins and furans, the full complement of polychlorinated biphenyl (PCB) congeners, and a large number of pesticides and semivolatile organic compounds.","Probabilistic - A probability sampling method is any method of sampling that utilizes some form of random selection. In order to have a random selection method, you must set up some process or procedure that assures that the different units in your population have equal probabilities of being chosen.",Y,EPA,,
CEDEN,California State Water Resources Control Board,SCVURPPP_CSM_WY2015,SCVURPPP Creek Status Monitoring in WY2015,Santa Clara Valley Urban Runoff Pollution Prevention Program Creek Status Monitoring in WY2015,,,,,
CEDEN,California State Water Resources Control Board,ACCWP_CSM_WY2014,ACCWP Creek Status Monitoring in WY2014,Alameda Countywide Clean Water Program Creek Status Monitoring in WY2014,,,,,
CEDEN,California State Water Resources Control Board,RWB3_CMP_2016_Q1,RWB 3 Cooperative Monitoring Program 2016 Q1,Regional Water Board 3 Cooperative Monitoring Program 2016 First Quarter Jan-March,,,Not Recorded,,
CEDEN,California State Water Resources Control Board,ACCWP_CSM_WY2012,ACCWP Creek Status Monitoring in WY2012,Alameda Countywide Clean Water Program Creek Status Monitoring in WY2012,,,,,
CEDEN,California State Water Resources Control Board,CCCWP_CSM_WY2014,CCCWP Creek Status Monitoring in WY2014,Contra Costa County Clean Water Program Creek Status Monitoring in WY2014,,,,,
CEDEN,California State Water Resources Control Board,RWB3_CMP_2013_Q1,RWB 3 Cooperative Monitoring Program 2013 Q1,Regional Water Board 3 Cooperative Monitoring Program 2013 First Quarter Jan-March,,,Not Recorded,,
NARS_WQX,EPA National Aquatic Resources Survey (NARS),NARS_WSA2006_ECOREGION_XER,EPA NARS WSA2006 EcoRegion - Xeric,Subset of observations including a multi-year assessment with 260 candidate wadeable stream sites and 177 sampled streams. The Wadeable Streams Assessment (WSA) provides the first statistically defensible summary of the condition of the nation's streams and small rivers. For complete details see EPA publication EPA841-B-06-002; December 2006; www.epa.gov/owow/streamsurvey,"Probabilistic - A probability sampling method is any method of sampling that utilizes some form of random selection. In order to have a random selection method, you must set up some process or procedure that assures that the different units in your population have equal probabilities of being chosen.",Y,EPA OW and ORD,,https://www.waterqualitydata.us/data/providers/STORET/organizations/NARS_WQX/projects/NARS_WSA2006_ECOREGION_XER/projectMonitoringLocationWeightings
CEDEN,California State Water Resources Control Board,SWB_RCMP_2015,Statewide Ref Condition Management Plan 2015,Reference Condition Management Plan (RCMP) 2015,,,,,
CEDEN,California State Water Resources Control Board,HStGrnSt-Post,H Street Green Street Improvements Project Post,Post-construction samples of stormwater runoff for a broad water chemistry analysis prior to construction of green infrastructure in residential neighborhood,,,,,
CEDEN,California State Water Resources Control Board,SCVURPPP_SSID_LS_CSCI,Lower Silver Creek CSCI SSID Project,SCVURPPP Stressor Source ID project evaluating low CSCI Scores,,,,,
CEDEN,California State Water Resources Control Board,RWB3_CC_2004,CCAMP Coastal Confluences_2004,CCAMP Coastal Confluences_2004,,,Not Recorded,,
CEDEN,California State Water Resources Control Board,EMAP_2002_WS,EMAP Wadeable Streams 2002,EMAP Wadeable Streams sampling conducted in the year 2002,,,Not Recorded,,
CEDEN,California State Water Resources Control Board,RWB3_CC_2013_CWQ2,CCAMP Coastal Confluences 2013 CWQ2,CCAMP Coastal Confluences 2013 Conventional Water Quality Second Quarter April-June,,,Not Recorded,,
CEDEN,California State Water Resources Control Board,12GI2ELC,"2012 Green Infrastructure Study - El Cerrito, CA","2012 Green Infrastructure Study - El Cerrito, CA",,,,,
CEDEN,California State Water Resources Control Board,17RMP2MC,2017 RMP Margins Special Study,"This study will provide an unbiased spatially distributed characterization of surface sediment contamination and ancillary characteristics (grain size, TOC, etc.) in shallow Central Bay margin areas, weighted towards urbanized areas.",,,,,
CEDEN,California State Water Resources Control Board,SJC_WY16_Q1,"SJC, Order R5-2014-0029, Jun 1st 2016, WY16, Q1","San Joaquin County and Delta Water Quality Coalition Monitoring Under ILRP Order R5-2008-005, June 1st 2016 Submittal, Water Year 2016, Quarter 1, Sampling Dates Oct Dec 2015",,,,,
CEDEN,California State Water Resources Control Board,94RMP2ST,1994 RMP Status and Trends,1994 Regional Monitoring Project Status and Trends,,,RMP QAPP 1999,,
CEDEN,California State Water Resources Control Board,12STLS2SCVURPPP,STLS Monitoring Santa Clara Valley URPPP WY2012,Small Tributaries Loading Strategy Monitoring Santa Clara Valley Urban Runoff Pollution Prevention Program WY2012,,,,,
CEDEN,California State Water Resources Control Board,SWB_SPoT_2009,Statewide Stream Pollution Trends Study 2009,Stream Pollution Trends Study,,,Not Recorded,,
CEDEN,California State Water Resources Control Board,03RMP2ST,2003 RMP Status and Trends,2003 Regional Monitoring Project Status and Trends,,,,,
CEDEN,California State Water Resources Control Board,EMAP_2001_WS,EMAP Wadeable Streams 2001,EMAP Wadeable Streams sampling conducted in the year 2001,,,Not Recorded,,
CEDEN,California State Water Resources Control Board,09RMP2ST,2009 RMP Status and Trends,2009 Regional Monitoring Project Status and Trends,,,,,
CEDEN,California State Water Resources Control Board,RWB3_CC_2014_CWQ1,CCAMP Coastal Confluences 2014 CWQ1,CCAMP Coastal Confluences 2014 Conventional Water Quality First Quarter Jan -March,,,Not Recorded,,
CEDEN,California State Water Resources Control Board,RWB3_CC_2007,CCAMP Coastal Confluences_2007,CCAMP Coastal Confluences_2007,,,Not Recorded,,
CEDEN,California State Water Resources Control Board,RWB2_Ref_2010,RWB2 Reference Study Monitoring 2010,RWB2 Reference Study Monitoring 2010,,,Not Recorded,,
CEDEN,California State Water Resources Control Board,Central_Coast_ASBS,ASBS Reg Ref Site Monitoring 2013 - AMS,AMS 2013 ASBS Regional Reference,,,,,
CEDEN,California State Water Resources Control Board,SWB_SPoT_2008,Statewide Stream Pollution Trends Study 2008,Stream Pollution Trends Study,,,Not Recorded,,
CEDEN,California State Water Resources Control Board,SJC_AY12,"SJC, Order R5-2008-0005, Mar 1st 2013, AY12","San Joaquin County and Delta Water Quality Coalition Monitoring Under ILRP Order R5-2008-005, March 1st 2013 Submittal, Annual Year 2012, Sampling Dates Jan-Dec 2012",,,,,
CEDEN,California State Water Resources Control Board,RWB2_UrS_2012,RWB2 Urbanization Study 2012,RWB2 Urbanization Study 2012,,,Not Recorded,,
CEDEN,California State Water Resources Control Board,RWB2_RMC_2013,RWB2 Regional Monitoring Coalition Reference 2013,18 non-urban probabilistic sites (perennial and non-perennial),,,Not Recorded,,
CEDEN,California State Water Resources Control Board,RWB3_CC_2013_CWQ4,CCAMP Coastal Confluences 2013 CWQ4,CCAMP Coastal Confluences 2013 Conventional Water Quality Fourth Quarter Oct-Dec,,,Not Recorded,,
CEDEN,California State Water Resources Control Board,RWB5_CyanoBac_FY1112,RWB5 Clear Lake and Delta Cyanobacteria FY1112,RWB5 Harmful cyanobacteria blooms and their toxins in Clear Lake and the Delta,,,Not Recorded,,
CEDEN,California State Water Resources Control Board,SWB_CMAP_2004,CMAP Wadeable Streams 2004,California Monitoring and Assessment Program (CMAP) Wadeable Streams sampling conducted in the year 2004,,,Not Recorded,,
CEDEN,California State Water Resources Control Board,WES_Sep12-Feb13,"WES Order R5-2008-0005, Jun 15th 2013, Sep12-Feb13","Westside San Joaquin River Watershed Coalition Monitoring Under ILRP Order R5-2008-005, June 15th 2013 Submittal , Semi Annual, Sample Dates Sep12-Feb13",,,,,
CEDEN,California State Water Resources Control Board,SWB_SPoT_2020,Statewide Stream Pollution Trends Study 2020,Statewide Stream Pollution Trends Study 2020,,,,,
NARS_WQX,EPA National Aquatic Resources Survey (NARS),NARS_NCCA2015,National Coastal Condition Assessment 2015,National Aquatic Resource Surveys (NARS) 2015 National Coastal Condition Assessment (NCCA),,,,,
NARS_WQX,EPA National Aquatic Resources Survey (NARS),NARS_NLA2017,EPA NARS National Lakes Assessment 2017,National Aquatic Resource Surveys (NARS) 2017 National Lakes Assessment (NLA),,,,,
CEDEN,California State Water Resources Control Board,SJC_WY14_Q4,"SJC, Order R5-2014-0029, Mar 1st 2015, WY14, Q4","San Joaquin County and Delta Water Quality Coalition Monitoring Under ILRP Order R5-2008-005, March 1st 2015 Submittal, Water Year 2014, Quarter 4, Sampling Dates Jul-Sep 2014",,,,,
CEDEN,California State Water Resources Control Board,SWB_SPoT_Variability_2011,Statewide Stream Pollution Trends Study 2011 Varia,Statewide Stream Pollution Trends Study 2011 Seasonal Variability Study,,,Central Coast ASBS RMP QAPP 2013,,
CEDEN,California State Water Resources Control Board,SWB_SPoT_Variability_2012,Statewide Stream Pollution Trends Study 2012 Varia,Statewide Stream Pollution Trends Study 2012 Seasonal Variability Study,,,Central Coast ASBS RMP QAPP 2013,,
CEDEN,California State Water Resources Control Board,RWB3_CC_2014_CWQ3,CCAMP Coastal Confluences 2014 CWQ3,CCAMP Coastal Confluences 2014 Conventional Water Quality Third Quarter July-Sept,,,Not Recorded,,
CEDEN,California State Water Resources Control Board,RWB2_SuBay_2010,RWB2 Suisun Bay Monitoring Study 2010,Suisun Bay Monitoring  2010,,,Not Recorded,,
CEDEN,California State Water Resources Control Board,DOT_NPDES_MON_2014-2015,CA Dept of Transit NPDES Monitoring 2014-2015,"Compliance with SWRCB Order No. 2012-0011-DWQ, California Department of Transportation Statewide NPDES Permit for the 2014-2015 storm season.",,,,,
CEDEN,California State Water Resources Control Board,RWB3_CC_2014_CWQ2,CCAMP Coastal Confluences 2014 CWQ2,CCAMP Coastal Confluences 2014 Conventional Water Quality Second Quarter April-June,,,Not Recorded,,
CEDEN,California State Water Resources Control Board,RWB3_Pajaro_2011,CCAMP Pajaro and Santa Cruz Area Rotation_2011,CCAMP Pajaro and Santa Cruz Area Rotation_2011,,,Not Recorded,,
CEDEN,California State Water Resources Control Board,98RMP2ST,1998 RMP Status and Trends,1998 Regional Monitoring Project Status and Trends,,,RMP QAPP 1999,,
CEDEN,California State Water Resources Control Board,SWB_CMAP_2005,CMAP Wadeable Streams 2005,California Monitoring and Assessment Program (CMAP) Wadeable Streams sampling conducted in the year 2005,,,Not Recorded,,
CEDEN,California State Water Resources Control Board,95RMP2ST,1995 RMP Status and Trends,1995 Regional Monitoring Project Status and Trends,,,RMP QAPP 1999,,
CEDEN,California State Water Resources Control Board,15RMP2MC,2015 RMP Margins Special Study,"This study will provide an unbiased spatially distributed characterization of surface sediment contamination and ancillary characteristics (grain size, TOC, etc.) in shallow Central Bay margin areas, weighted towards urbanized areas.",,,,,
CEDEN,California State Water Resources Control Board,13STLS2SMCWPPP,STLS Monitoring San Mateo Countywide WPPP WY2013,Small Tributaries Loading Strategy Monitoring San Mateo Countywide Water Pollution Prevention ProgramWY2013,,,,,
CEDEN,California State Water Resources Control Board,RWB2_Ref_2009,RWB2 Reference Study Monitoring 2009,RWB2 Reference Study Monitoring 2009,,,Not Recorded,,
CEDEN,California State Water Resources Control Board,RWB3_CMP_2014_Q4,RWB 3 Cooperative Monitoring Program 2014 Q4,Regional Water Board 3 Cooperative Monitoring Program 2014 Fourth Quarter Oct-Dec,,,Not Recorded,,
CEDEN,California State Water Resources Control Board,10RMP2ST,2010 RMP Status and Trends,2010 Regional Monitoring Project Status and Trends,,,,,
CEDEN,California State Water Resources Control Board,RWB3_CMP_2014_Q1,RWB 3 Cooperative Monitoring Program 2014 Q1,Regional Water Board 3 Cooperative Monitoring Program 2014 First Quarter Jan-March,,,Not Recorded,,
CEDEN,California State Water Resources Control Board,00RMP2ST,2000 RMP Status and Trends,2000 Regional Monitoring Project Status and Trends,,,RMP QAPP 1999,,
CEDEN,California State Water Resources Control Board,RWB3_CMP_2013_Q3,RWB 3 Cooperative Monitoring Program 2013 Q3,Regional Water Board 3 Cooperative Monitoring Program 2013 Third Quarter July-Sept,,,Not Recorded,,
CEDEN,California State Water Resources Control Board,RWB2_Ref_2008,RWB2 Reference Study Monitoring 2008,included events from winter 2009,,,Not Recorded,,
CEDEN,California State Water Resources Control Board,RWB3_CMP,RWB 3 Cooperative Monitoring Program,Regional Water Board 3 Cooperative Monitoring Program,,,,,
CEDEN,California State Water Resources Control Board,SWB_PSA_2019,Statewide Perennial Streams Assessment 2019,Perennial Streams Assessment (PSA) 2019,,,,,
CEDEN,California State Water Resources Control Board,RWB2_StevensCr_2019,RWB2 Stevens Creek Toxicity sampling 2019,RWB2 Stevens Creek Toxicity sampling 2019,,,,,
11NPSWRD_WQX,National Park Service Water Resources Division,SFAN_I&M_EXTRA,"SFAN Long-Term Water Quality Monitoring Program, Extra Sampling","The SFAN I&M Water Quality program designates one discrete sampling event per site per month. Extra or additional data beyond the one data point per site per month will skew the data during analysis. This project contains extra or additional sampling data for SFAN I&M collected outside of the normal SFAN routine sampling. Most data found in this project are targeted storm (""first flush"") data.",,N,,,
CEDEN,California State Water Resources Control Board,CCCWP_CSM_WY2015,CCCWP Creek Status Monitoring in WY2015,Contra Costa County Clean Water Program Creek Status Monitoring in WY2015,,,,,
CEDEN,California State Water Resources Control Board,SWB_SPoT_2017,Statewide Stream Pollution Trends Study 2017,Statewide Stream Pollution Trends Study 2017,,,,,
CEDEN,California State Water Resources Control Board,RWB2_WadeableStreams_2019,"RWB2 WadStr2019 Livermore Valley, SFQ, COY, RDW","Targeted BA in Livermore Valley, San Francisquito Creek, Coyote Creek, and Redwood Creek watersheds",,,,,
CEDEN,California State Water Resources Control Board,HStGrnSt-Pre,H Street Green Street Improvements Project Pre,Pre-construction samples of stormwater runoff for a broad water chemistry analysis prior to construction of green infrastructure in residential neighborhood,,,,,
CEDEN,California State Water Resources Control Board,14STLS2RMP,STLS Monitoring RMP WY2014,Small Tributaries Loading Strategy Monitoring RMP WY2014,,,,,
CEDEN,California State Water Resources Control Board,SMCWPPP_P&T_WY2018,SMCWPPP Pesticides and Toxicity Monitoring WY2018,SMCWPPP Pesticides and Toxicity Monitoring in WY2018,,,,,
CEDEN,California State Water Resources Control Board,WES_Mar16-Aug16,"WES Order R5-2014-0002, Nov 30th 2016, Mar16-Aug16","Westside San Joaquin River Watershed Coalition Monitoring Under ILRP Order R5-2014-0002, November 30th 2016 Submittal , Semi Annual, Sample Dates Mar16-Aug16",,,,,
CEDEN,California State Water Resources Control Board,SMCWPPP_CSM_WY2017,SMCWPPP Creek Status Monitoring in WY2017,SMCWPPP Creek Status Monitoring in WY2017,,,,,
CEDEN,California State Water Resources Control Board,SCVURPPP_CSM_WY2017,SCVURPPP Creek Status Monitoring in WY2017,SCVURPPP Creek Status Monitoring in WY2017,,,,,
CEDEN,California State Water Resources Control Board,SMCWPPP_CSM_WY2016,SMCWPPP Creek Status Monitoring in WY2016,San Mateo Countyside Water Pollution Prevention Program Creek Status Monitoring in WY2016,,,,,
CEDEN,California State Water Resources Control Board,RWB3_CC_2016_CWQ1,CCAMP Coastal Confluences 2016 CWQ1,CCAMP Coastal Confluences 2016 Conventional Water Quality First Quarter Jan- March,,,,,
CEDEN,California State Water Resources Control Board,WES_Sep20-Feb21,"WES Order R5-2014-0002, Jun 15th 2021, Sep20-Feb21","Westside San Joaquin River Watershed Coalition Monitoring Under ILRP Order R5-2014-0002, June 15th 2021 Submittal , Semi Annual, Sample Dates Sep21- Feb21",,,,,
CEDEN,California State Water Resources Control Board,CCCWP_CSM_WY2020,CCCWP Creek Status Monitoring in WY2020,Contra Costa County Clean Water Program Creek Status Monitoring in WY2020,,,,,
CEDEN,California State Water Resources Control Board,RWB3_CC_2020,CCAMP Coastal Confluence 2020,CCAMP Coastal Confluence 2020,,,,,
CEDEN,California State Water Resources Control Board,ACARM_2013,Alameda Creek Aquatic Resource Monitoring 2013,Alameda Creek Aquatic Resource Monitoring 2013,,,,,
CEDEN,California State Water Resources Control Board,SJC_WY21_Q3,"SJC, Order R5-2014-0029, Dec 1st 2021, WY21, Q3","San Joaquin County and Delta Water Quality Coalition Monitoring Under ILRP Order R5-2008-005, December 1st 2021 Submittal, Water Year 2021, Quarter 3, Sampling Dates Apr-Jun 2021",,,,,
CEDEN,California State Water Resources Control Board,SWB_SPoT_2022,Statewide Stream Pollution Trends Study 2022,Statewide Stream Pollution Trends Study 2022,,,,,
CEDEN,California State Water Resources Control Board,SWB_SPoT_2021,Statewide Stream Pollution Trends Study 2021,Statewide Stream Pollution Trends Study 2021,,,,,
CEDEN,California State Water Resources Control Board,WES_Mar19-Aug19,"WES Order R5-2014-0002, Nov 30th 2019, Mar19-Aug19","Westside San Joaquin River Watershed Coalition Monitoring Under ILRP Order R5-2014-0002, November 30th 2019 Submittal , Semi Annual, Sample Dates Mar19-Aug19",,,,,
CEDEN,California State Water Resources Control Board,DPR_SWS_329,DPR Surface Water Study 329,Department of Pesticide Regulation Surface Water Study 329,,,,,
CEDEN,California State Water Resources Control Board,ACCWP_P&T_WY2018,ACCWP Pesticide and Toxicity Monitoring in WY18,ACCWP Pesticide and Toxicity Monitoring in WY18,,,,,
CEDEN,California State Water Resources Control Board,SCVURPPP_CSM_WY2012,SCVURPPP Creek Status Monitoring in WY2012,Santa Clara Valley Urban Runoff Pollution Prevention Program Creek Status Monitoring in WY2012,,,,,
CEDEN,California State Water Resources Control Board,WES_Sep18-Feb19,"WES Order R5-2014-0002, Jun 15th 2019, Sep18-Feb19","Westside San Joaquin River Watershed Coalition Monitoring Under ILRP Order R5-2014-0002, June 15th 2019 Submittal , Semi Annual, Sample Dates Sep18- Feb19",,,,,
CEDEN,California State Water Resources Control Board,SMCWPPP_P&T_WY2021,SMCWPPP Pesticides and Toxicity Monitoring WY2021,SMCWPPP Pesticides and Toxicity Monitoring in WY2021,,,,,
CEDEN,California State Water Resources Control Board,SJC_WY19_Q3,"SJC, Order R5-2014-0029, Dec 1st 2019, WY19, Q3","San Joaquin County and Delta Water Quality Coalition Monitoring Under ILRP Order R5-2008-005, December 1st 2019 Submittal, Water Year 2019, Quarter 3, Sampling Dates Apr-Jun 2019",,,,,
CEDEN,California State Water Resources Control Board,WES_Mar21-Aug21,"WES Order R5-2014-0002, Nov 30th 2021, Mar21-Aug21","Westside San Joaquin River Watershed Coalition Monitoring Under ILRP Order R5-2014-0002, November 30th 2021 Submittal , Semi Annual, Sample Dates Mar21-Aug21",,,,,
NARS_WQX,EPA National Aquatic Resources Survey (NARS),NWCA 2021,National Wetland Condition Assessment 2021,National Aquatic Resource Surveys National Wetland Condition Assessment 2021,,Y,,,
CEDEN,California State Water Resources Control Board,ACCWP_POC_WY2017,ACCWP Pollutants of Concern Monitoring in WY2017,ACCWP Pollutants of Concern Monitoring in WY2017,,,,,
CEDEN,California State Water Resources Control Board,SWB_SPoT_2019,Statewide Stream Pollution Trends Study 2019,Stream Pollution Trends Study,,,,,
CEDEN,California State Water Resources Control Board,RWB3_Pajaro_2017_CWQ4,CCAMP Pajaro Santa Cruz Area Rotation 2017 CWQ4,CCAMP Pajaro and Santa Cruz Area Rotation 2017 Conventional Water Quality Fourth Quarter  Oct - Dec,,,,,
EMAP_CS_WQX,Environmental Monitoring and Assessment Program,WCOAST,EMAP-West 1999-2006 Coastal Monitoring,"EMAP-West 1999-2006 Coastal Monitoring in California, Oregon, Washington, Alaska, Hawaii and Guam",,,,,
