OrganizationIdentifier,OrganizationFormalName,ProjectIdentifier,ProjectName,ProjectDescriptionText,SamplingDesignTypeCode,QAPPApprovedIndicator,QAPPApprovalAgencyName,ProjectFileUrl,ProjectMonitoringLocationWeightingUrl
CEDEN,California State Water Resources Control Board,BrAvGrnSt_Pre,Brighton Avenue Pilot Green Street Project Pre,Pre-construction samples of stormwater runoff for a broad water chemistry analysis prior to construction of green infrastructure in school/residential neighborhood,,,,,
CEDEN,California State Water Resources Control Board,ACCWP_CSM_WY2013,ACCWP Creek Status Monitoring in WY2013,Alameda Countywide Clean Water Program Creek Status Monitoring in WY2013,,,,,
CEDEN,California State Water Resources Control Board,ACCWP_CSM_WY2015,ACCWP Creek Status Monitoring in WY2015,Alameda County Clean Water Program Creek Status Monitoring in WY2015,,,,,
CEDEN,California State Water Resources Control Board,CCCWP_CSM_WY2012,CCCWP Creek Status Monitoring in WY2012,Contra Costa County Clean Water Program Creek Status Monitoring in WY2012,,,,,
CEDEN,California State Water Resources Control Board,BrAvGrnSt_Post,Brighton Avenue Pilot Green Street Project Post,Post-construction samples of stormwater runoff for a broad water chemistry analysis prior to construction of green infrastructure in school/residential neighborhood,,,,,
CALWR_WQX,California Department Of Water Resources,1021,SDIP,Not Specified,,,,,
CEDEN,California State Water Resources Control Board,SJC_WY15_Q2,"SJC, Order R5-2014-0029, Sep 1st 2015, WY14, Q2","San Joaquin County and Delta Water Quality Coalition Monitoring Under ILRP Order R5-2008-005, September 1st 2015 Submittal, Water Year 2015, Quarter 2, Sampling Dates Jan-Mar 2015",,,,,
CEDEN,California State Water Resources Control Board,SJC_WY15_Q3,"SJC, Order R5-2014-0029, Dec 1st 2015, WY14, Q3","San Joaquin County and Delta Water Quality Coalition Monitoring Under ILRP Order R5-2008-005, December 1st 2015 Submittal, Water Year 2015, Quarter 3, Sampling Dates Apr-Jun 20145",,,,,
CEDEN,California State Water Resources Control Board,WES_Mar15-Aug15,"WES Order R5-2014-0002, Nov 30th 2015, Mar15-Aug15","Westside San Joaquin River Watershed Coalition Monitoring Under ILRP Order R5-2014-0002, November 30th 2015 Submittal , Semi Annual, Sample Dates Mar15-Aug15",,,,,
CEDEN,California State Water Resources Control Board,0810_Eff_DeltaSmelt,Acute Toxicity in Delta Smelt 2008-2010,A Series of 6 experiments conducted from 2008-2010. Acute Toxicity of Ammonia/um and Wastewater Treatment Effluent-Associated Contaminants on Delta Smelt.,,,,,
CALWR_WQX,California Department Of Water Resources,1082,Clifton Court Copper Treatment,Not Specified,,,,,
CALWR_WQX,California Department Of Water Resources,1039,MWQI - Parameter Plan,Not Specified,,,,,
CEDEN,California State Water Resources Control Board,2002 CTR,2002 CTR Study,2002 California Toxics Rule,,,,,
CEDEN,California State Water Resources Control Board,RWB2_Ref_NP_2012,RWB2 Non-Perennial Reference Study,8 non-perennial targeted reference sites,,,Not Recorded,,
CEDEN,California State Water Resources Control Board,BACWA_SuBay_2011,BACWA Suisun Bay Monitoring Project 2011,Bay Area Clean Water Agencies Suisun Bay Monitoring Project 2011,,,,,
CEDEN,California State Water Resources Control Board,SWB_NLA_2012,SWAMP National Lake Assessment EPA,SWAMP National Lake Assessment EPA,,,Not Recorded,,
CEDEN,California State Water Resources Control Board,WES_Mar14-Aug14,"WES Order R5-2014-0002, Nov 30th 2014, Mar14-Aug14","Westside San Joaquin River Watershed Coalition Monitoring Under ILRP Order R5-2014-0002, November 30th 2014 Submittal , Semi Annual, Sample Dates Mar14-Aug14",,,,,
CEDEN,California State Water Resources Control Board,RWB2_Status_Yr5,RWB2 Yr5 Coastal Marin and SF Creeks,RWB2 StatusYr5 Coastal Marin and SF Creeks,,,Not Recorded,,
CEDEN,California State Water Resources Control Board,SWB_PSA_2015,Statewide Perennial Streams Assessment 2015,Perennial Streams Assessment (PSA) 2015,,,,,
CEDEN,California State Water Resources Control Board,SWB_SPoT_2011,Statewide Stream Pollution Trends Study 2011,Stream Pollution Trends Study,,,Central Coast ASBS RMP QAPP 2013,,
CEDEN,California State Water Resources Control Board,15RMP2ST,2015 RMP Status and Trends,2015 Regional Monitoring Project Status and Trends,,,,,
CEDEN,California State Water Resources Control Board,SMCWPPP_POC_WY2018,SMCWPPP Pollutants of Concern Monitoring in WY2018,SMCWPPP Pollutants of Concern Monitoring in WY2018,,,,,
CEDEN,California State Water Resources Control Board,WES_Mar13-Aug13,"WES Order R5-2008-0005, Nov 30th 2013, Mar13-Aug13","Westside San Joaquin River Watershed Coalition Monitoring Under ILRP Order R5-2008-005, November 30th 2013 Submittal , Semi Annual, Sample Dates Mar13-Aug13",,,,,
CEDEN,California State Water Resources Control Board,WES_ Sep13-Feb14,"WES Order R5-2014-0002, Jun 15th 2014, Sep13-Feb14","Westside San Joaquin River Watershed Coalition Monitoring Under ILRP Order R5-2014-0002, June 30th 2014 Submittal , Semi Annual, Sample Dates Sep13- Feb14",,,,,
NALMS,North American Lake Management Society,NALMS_SECCHI_DIPIN,Secchi Dip In,Data collected as part of the NALMS Secchi Dip In annual event. The Data comes from both the NALMS historical data and the new GLEON Lake Observer Mobile Application.,,N,,,
CEDEN,California State Water Resources Control Board,SCVURPPP_POC_WY2018,SCVURPPP Pollutants of Concern Monitoring WY2018,SCVURPPP Pollutants of Concern Monitoring in WY2018,,,,,
NARS_WQX,EPA National Aquatic Resources Survey (NARS),NCCA_NCA199706,National Coastal Assessment (NCA) 1997-2006 Overall,"To answer broad-scale questions on environmental conditions, the US EPA Environmental Monitoring and
Assessment Program (EMAP) and its partners have collected estuarine and 
coastal data from hundreds of stations along the coasts of the continental United States. Types of data include 
water column parameters, sediment chemistry and toxicity, benthic communities, demersal fish, and tissue contaminants. 
EMAP's National Coastal Assessment comprises all the estuarine and coastal sampling done by EMAP between 1997 and 2006. 
This includes the sampling done in the biogeographic provinces as well as data from the Regional EMAP (REMAP) 
studies done by EPA Regional Offices. 
Data collected between 2000 and 2006 was collected by the ""Coastal 2000"" program using an integrated, comprehensive coastal 
monitoring program among the coastal states.","Probabilistic - A probability sampling method is any method of sampling that utilizes some form of random selection. In order to have a random selection method, you must set up some process or procedure that assures that the different units in your population have equal probabilities of being chosen.",Y,EPA OW and ORD,https://www.waterqualitydata.us/data/providers/STORET/organizations/NARS_WQX/projects/NCCA_NCA199706/files,https://www.waterqualitydata.us/data/providers/STORET/organizations/NARS_WQX/projects/NCCA_NCA199706/projectMonitoringLocationWeightings
CEDEN,California State Water Resources Control Board,16RMP2ST,2016 RMP Status and Trends,2016 Regional Monitoring Project Status and Trends,,,,,
CEDEN,California State Water Resources Control Board,SWB_RCMP_2016,Statewide Ref Condition Management Plan 2016,Reference Condition Management Plan (RCMP) 2016,,,,,
CEDEN,California State Water Resources Control Board,SWB_RCMP_2017,Statewide Ref Condition Management Plan 2017,Reference Condition Management Plan (RCMP) 2017,,,,,
CEDEN,California State Water Resources Control Board,SMCWPPP_P&T_WY2017,SMCWPPP Pesticides and Toxicity Monitoring WY2017,SMCWPPP Pesticides and Toxicity Monitoring in WY2017,,,,,
CEDEN,California State Water Resources Control Board,SCVURPPP_CSM_WY2016,SCVURPPP Creek Status Monitoring in WY2016,Santa Clara Valley Urban Runoff Pollution Prevention Program Creek Status Monitoring in WY2016,,,,,
CEDEN,California State Water Resources Control Board,SWB_SPoT_2016,Statewide Stream Pollution Trends Study 2016,Statewide Stream Pollution Trends Study 2016,,,,,
CEDEN,California State Water Resources Control Board,WES_Sep16-Feb17,"WES Order R5-2014-0002, Jun 15th 2017, Sep16-Feb17","Westside San Joaquin River Watershed Coalition Monitoring Under ILRP Order R5-2014-0002, June 15th 2017 Submittal , Semi Annual, Sample Dates Sep16- Feb17",,,,,
NARS_WQX,EPA National Aquatic Resources Survey (NARS),NARS_NLA2012,National Lakes Assessment 2012,National Aquatic Resource Surveys (NARS) 2012  National Lakes Assessment (NLA),"Probabilistic - A probability sampling method is any method of sampling that utilizes some form of random selection. In order to have a random selection method, you must set up some process or procedure that assures that the different units in your population have equal probabilities of being chosen.",,,,
CEDEN,California State Water Resources Control Board,19RMP2_NB_Se,2019-2020 RMP North Bay Selenium,2019-2020 RMP North Bay Selenium,,,,,
CEDEN,California State Water Resources Control Board,RWB3_Pajaro_2017_BA,CCAMP Pajaro and Santa Cruz Area Rotation_2017_BA,CCAMP Pajaro and Santa Cruz Area Rotation_2017 Bioassessment,,,,,
CEDEN,California State Water Resources Control Board,CCCWP_CSM_WY2018,CCCWP Creek Status Monitoring in WY2018,Contra Costa County Clean Water Program Creek Status Monitoring in WY2018,,,,,
CEDEN,California State Water Resources Control Board,RWB3_Pajaro_2017_CWQ3,CCAMP Pajaro Santa Cruz Area Rotation 2017 CWQ3,CCAMP Pajaro and Santa Cruz Area Rotation 2017 Conventional Water Quality Third Quarter July - Sept,,,,,
CEDEN,California State Water Resources Control Board,15GSPPA,2015 Green Street Pilot  - Park Ave,2015 Green Street Pilot Performance Evaluation - Park Ave,,,,,
CEDEN,California State Water Resources Control Board,RWB3_Pajaro_2017_CWQ2,CCAMP Pajaro Santa Cruz Area Rotation 2017 CWQ2,CCAMP Pajaro and Santa Cruz Area Rotation 2017 Conventional Water Quality Second Quarter  April - June,,,,,
CEDEN,California State Water Resources Control Board,SCVURPPP_POC_WY2016,SCVURPPP PoC Monitoring in WY2016,Santa Clara Valley Urban Runoff Pollution Prevention Program PoC Monitoring in WY2016,,,,,
CEDEN,California State Water Resources Control Board,ACCWP_CSM_WY2017,ACCWP Creek Status Monitoring in WY2017,Alameda County Clean Water Program Creek Status Monitoring in WY2017,,,,,
CEDEN,California State Water Resources Control Board,16GSPPA,2016 Green Street Pilot  - Park Ave,2016 Green Street Pilot Performance Evaluation - Park Ave,,,,,
CEDEN,California State Water Resources Control Board,RWB3_CC_2018,CCAMP Coastal Confluence 2018,CCAMP Coastal Confluence 2018,,,,,
CEDEN,California State Water Resources Control Board,RWB3_CC_2016_CWQ4,CCAMP Coastal Confluences 2016 CWQ4,CCAMP Coastal Confluences 2016 Conventional Water Quality Fourth Quarter Oct-Dec,,,,,
CEDEN,California State Water Resources Control Board,SCVURPPP_SSID_UPE_BA,Upper Penitencia Creek Stressor Source ID Project,Santa Clara Valley Urban Runoff Pollution Prevention Program Upper Penitencia Creek Stressor Source ID Project,,,,,
CEDEN,California State Water Resources Control Board,SMCWPPP_POC_WY2019,SMCWPPP Pollutants of Concern Monitoring in WY2019,SMCWPPP Pollutants of Concern Monitoring in WY2019,,,,,
CEDEN,California State Water Resources Control Board,19RMP2ST,2019 RMP Status and Trends,2019 Regional Monitoring Project Status and Trends,,,,,
CEDEN,California State Water Resources Control Board,14GSPPA,2014 Green Street Pilot  - Park Ave,2014 Green Street Pilot Performance Evaluation - Park Ave,,,,,
CEDEN,California State Water Resources Control Board,SWB_PSA_2016,Statewide Perennial Streams Assessment 2016,Perennial Streams Assessment (PSA) 2016,,,,,
CEDEN,California State Water Resources Control Board,SCVURPPP_P&T_WY2018,SCVURPPP Pesticides and Toxicity Monitoring WY2018,SCVURPPP Pesticides and Toxicity Monitoring in WY2018,,,,,
CEDEN,California State Water Resources Control Board,DOT_NPDES_MON_2016-2017,CA Dept of Transit NPDES Monitoring 2016-2017,"Compliance with SWRCB Order No. 2012-0011-DWQ, California Department of Transportation Statewide NPDES Permit for the 2016-2017 storm season.",,,,,
CEDEN,California State Water Resources Control Board,SJC_WY18_Q2,"SJC, Order R5-2014-0029, Sep 1st 2018, WY18, Q2","San Joaquin County and Delta Water Quality Coalition Monitoring Under ILRP Order R5-2008-005, September 1st 2018 Submittal, Water Year 2018, Quarter 2, Sampling Dates Jan-Mar 2018",,,,,
CEDEN,California State Water Resources Control Board,SCVURPPP_P&T_WY2017,SCVURPPP Pesticides and Toxicity Monitoring WY2017,SCVURPPP Pesticides and Toxicity Monitoring in WY2017,,,,,
CEDEN,California State Water Resources Control Board,RWB3_CC_2016_CWQ3,CCAMP Coastal Confluences 2016 CWQ3,CCAMP Coastal Confluences 2016 Conventional Water Quality Third Quarter July-Sept,,,,,
CEDEN,California State Water Resources Control Board,ACCWP_CSM_WY2016,ACCWP Creek Status Monitoring in WY2016,Alameda County Clean Water Program Creek Status Monitoring in WY2016,,,,,
CEDEN,California State Water Resources Control Board,SWB_SPoT_2018,Statewide Stream Pollution Trends Study 2018,Statewide Stream Pollution Trends Study 2018,,,,,
CEDEN,California State Water Resources Control Board,SMCWPPP_POC_WY2016,SMCWPPP PoC Monitoring in WY2016,San Mateo Countyside Water Pollution Prevention Program PoC Monitoring in WY2016,,,,,
CEDEN,California State Water Resources Control Board,16SLB2SS-SEP,RMP Special Study San Leandro Bay PCB Study (SEP),RMP Special Study San Leandro Bay PCB Study (Supplemental Environmental Project Study),,,,,
CEDEN,California State Water Resources Control Board,RWB3_CMP_2014_Q3,RWB 3 Cooperative Monitoring Program 2014 Q3,Regional Water Board 3 Cooperative Monitoring Program 2014 Third Quarter July-Sept,,,Not Recorded,,
CEDEN,California State Water Resources Control Board,RWB2_WadeableStreams_2017,RWB2 WadStr2017 Lagunitas_Walker_Pescadero_Butano,"Targeted basic BA, intensive BA, and integrator sites in Lagunitas Creek, Walker Creek, Pescadero Creek, and Butano Creek watersheds",,,,,
CEDEN,California State Water Resources Control Board,WES_Mar17-Aug17,"WES Order R5-2014-0002, Nov 30th 2017, Mar17-Aug17","Westside San Joaquin River Watershed Coalition Monitoring Under ILRP Order R5-2014-0002, November 30th 2017 Submittal , Semi Annual, Sample Dates Mar17-Aug17",,,,,
CEDEN,California State Water Resources Control Board,01RMP2ST,2001 RMP Status and Trends,2001 Regional Monitoring Project Status and Trends,,,RMP QAPP 1999,,
CALWR_WQX,California Department Of Water Resources,19,Not Specified,Not Specified,,,,,
CALWR_WQX,California Department Of Water Resources,24,Not Specified,Not Specified,,,,,
CALWR_WQX,California Department Of Water Resources,25,Not Specified,Not Specified,,,,,
CALWR_WQX,California Department Of Water Resources,1121,Santa Clara Valley Water District,Not Specified,,,,,
CALWR_WQX,California Department Of Water Resources,1190,SBA pH Study 2015,Not Specified,,,,,
11NPSWRD_WQX,National Park Service Water Resources Division,GOGA0002,Expansion and Development of the Presidio by USACOE - 1907,"Data are from Major William W. Harts, Corp of Engineers ""Report Upon the Expansion and Development of the Presidio of San Francisco, California"", January 1907.  Little is known about what the monitoring sites were like.  We assumed that the reservoirs in the report were untreated and uncovered.  Some of the reservoirs that exist today are now treated and covered.  Other assumptions have been made regarding sampling locations, sampling methods, and methods of analysis.",,N,,,
CEDEN,California State Water Resources Control Board,LHI_RSW,Lehigh Receiving Water Monitoring,Lehigh Receiving Water Monitoring in Permanente Creek Watershed,,,,,
CEDEN,California State Water Resources Control Board,SJC_WY17_Q2,"SJC, Order R5-2014-0029, Sept 1st 2017, WY17, Q2","San Joaquin County and Delta Water Quality Coalition Monitoring Under ILRP Order R5-2008-005, September 1st 2017 Submittal, Water Year 2017, Quarter 2, Sampling Dates Jan-Mar 2017",,,,,
CEDEN,California State Water Resources Control Board,RWB2_Integrator_2019,"RWB2 Integrator Coyote, Pilarcitos, Stevens","Targeted water chem, sed chem, and sed tox in Coyote, Pilarcitos, and Stevens watersheds",,,,,
CEDEN,California State Water Resources Control Board,SMCWPPP_PT_WY2016,SMCWPPP Pesticides Toxicity Monitoring in WY2016,San Mateo Countyside Water Pollution Prevention Program Pesticides and Toxicity Monitoring in WY2016,,,,,
CEDEN,California State Water Resources Control Board,ACARM_2012,Alameda Creek Aquatic Resource Monitoring 2012,Alameda Creek Aquatic Resource Monitoring 2012,,,,,
CEDEN,California State Water Resources Control Board,SCVURPPP_POC_WY2017,SCVURPPP Pollutants of Concern Monitoring WY2017,SCVURPPP Pollutants of Concern Monitoring in WY2017,,,,,
CEDEN,California State Water Resources Control Board,SMCWPPP_SSID_PPH_FIB,Pillar Point Harbor Fecal Indicator Bacterial SSID,Pillar Point Harbor Fecal Indicator Bacterial SSID Project Stressor Source ID,,,,,
CEDEN,California State Water Resources Control Board,SWB_PSA_2017,Statewide Perennial Streams Assessment 2017,Perennial Streams Assessment (PSA) 2017,,,,,
CEDEN,California State Water Resources Control Board,RWB2_TMDL_SMCoCoast_2017,RWB2 San Mateo Coastal Pathogen TMDL Study 2017,RWB2 San Mateo Coastal Pathogen TMDL Study 2017,,,,,
CEDEN,California State Water Resources Control Board,18RMP2ST,2018 RMP Status and Trends,2018 Regional Monitoring Project Status and Trends,,,,,
CEDEN,California State Water Resources Control Board,SCVURPPP_CSM_WY2013,SCVURPPP Creek Status Monitoring in WY2013,Santa Clara Valley Urban Runoff Pollution Prevention Program Creek Status Monitoring in WY2013,,,,,
CEDEN,California State Water Resources Control Board,SMCARM_2018,San Mateo Creek Aquatic Resource Monitoring - 2018,San Mateo Creek Aquatic Resource Monitoring - 2018,,,,,
CEDEN,California State Water Resources Control Board,RWB2_StevensCr_2017,RWB2 Stevens Creek Toxicity sampling 2017,RWB2 Stevens Creek Toxicity sampling 2017,,,,,
CEDEN,California State Water Resources Control Board,RWB3_Pajaro_2017_CWQ1,CCAMP Pajaro Santa Cruz Area Rotation 2017 CWQ1,CCAMP Pajaro and Santa Cruz Area Rotation 2017 Conventional Water Quality First Quarter Jan - Mar,,,,,
CEDEN,California State Water Resources Control Board,WES_Sep11-Feb12,"WES Order R5-2008-0005, Jun 15th 2012, Sep11-Feb12","Westside San Joaquin River Watershed Coalition Monitoring Under ILRP Order R5-2008-005, June 15th 2012 Submittal , Semi Annual, Sample Dates Sep11-Feb12",,,,,
CEDEN,California State Water Resources Control Board,CCCWP_CSM_WY2019,CCCWP Creek Status Monitoring in WY2019,Contra Costa County Clean Water Program Creek Status Monitoring in WY2019,,,,,
CEDEN,California State Water Resources Control Board,ACARM_2016,Alameda Creek Aquatic Resource Monitoring 2016,Alameda Creek Aquatic Resource Monitoring 2016,,,,,
CEDEN,California State Water Resources Control Board,RWB2_BallenaBiv_2011,RWB2 Ballena Bay Marina Bivalve Study 2011,RWB2 Ballena Bay Marina Study of Resident Bivalves 2011,,,Not Recorded,,
CEDEN,California State Water Resources Control Board,SWB_SedTMDL,Statewide Sediment TMDL Study,Sediment TMDL Study,,,Not Recorded,,
CEDEN,California State Water Resources Control Board,RWB3_CMP_2013_Q2,RWB 3 Cooperative Monitoring Program 2013 Q2,Regional Water Board 3 Cooperative Monitoring Program 2013 Second Quarter April-June,,,Not Recorded,,
CEDEN,California State Water Resources Control Board,05RMP2ST,2005 RMP Status and Trends,2005 Regional Monitoring Project Status and Trends,,,,,
CEDEN,California State Water Resources Control Board,SWB_UPS,Statewide Project Urban Pyrethroid Status Monitori,Urban Pyrethroids Study,,,Not Recorded,,
CEDEN,California State Water Resources Control Board,RWB2_ALP_2011,RWB2 Arroyo Las Positas Monitoring Study 2011,RWB2 Arroyo Las Positas Monitoring Study 2011,,,Not Recorded,,
CEDEN,California State Water Resources Control Board,SWB_SPoT_2012,Statewide Stream Pollution Trends Study 2012 Pilot,Stream Pollution Trends Pilot Study focused in RWB5,,,Central Coast ASBS RMP QAPP 2013,,
CEDEN,California State Water Resources Control Board,SWB_PSA_2012,Statewide Perennial Streams Assessment 2012,Perennial Streams Assessment (PSA) 2012,,,Not Recorded,,
CEDEN,California State Water Resources Control Board,07RMP2ST,2007 RMP Status and Trends,2007 Regional Monitoring Project Status and Trends,,,,,
CEDEN,California State Water Resources Control Board,97RMP2ST,1997 RMP Status and Trends,1997 Regional Monitoring Project Status and Trends,,,RMP QAPP 1999,,
CEDEN,California State Water Resources Control Board,BASMAA_RMC_FY2013,BASMAA Regional Monitoring Coalition FY 2013,Monitoring,,,BASMAA_RMC_QAPP_2013,,
CEDEN,California State Water Resources Control Board,RWB3_CMP_2014_Q2,RWB 3 Cooperative Monitoring Program 2014 Q2,Regional Water Board 3 Cooperative Monitoring Program 2014 Second Quarter April-June,,,Not Recorded,,
CEDEN,California State Water Resources Control Board,BASMAA_RMC_FY2012,BASMAA Regional Monitoring Coalition FY 2011-2012,Monitoring,,,BASMAA_CW4CB_QAPPv1,,
CEDEN,California State Water Resources Control Board,BACWA_SuBay_2012,BACWA Suisun Bay Monitoring Project 2012,Bay Area Clean Water Agencies Suisun Bay Monitoring Project 2012,,,,,
CEDEN,California State Water Resources Control Board,WES_Historical,"WES, Order R5-2003-0105, R5-2005-0833, 2003-2008","Westside San Joaquin River Watershed Coalition Monitoring Under ILRP Order R5-2003-0826, R5-2006-0053, Sampling Dates 2003-2008",,,,,
CEDEN,California State Water Resources Control Board,RWB2_Status_Yr4,RWB2 Yr4 East Bay Creeks,RWB2 StatusYr4 East Bay Creeks - Alameda and Contra Costa Counties,,,Not Recorded,,
CEDEN,California State Water Resources Control Board,RWB3_CC_2015_CWQ1,CCAMP Coastal Confluences 2015 CWQ1,CCAMP Coastal Confluences 2015 Conventional Water Quality First Quarter Jan- March,,,Not Recorded,,
CEDEN,California State Water Resources Control Board,13GI2FG,2013 Green Infrastructure - Fitzgerald Marine Res,2012 Green Infrastructure - Fitzgerald Marine Reserve,,,,,
CEDEN,California State Water Resources Control Board,08RMP2ST,2008 RMP Status and Trends,2008 Regional Monitoring Project Status and Trends,,,,,
CEDEN,California State Water Resources Control Board,WES_Mar10-Aug10,"WES, Order R5-2008-0005, Nov 30th 2010, Mar10-Aug1","Westside San Joaquin River Watershed Coalition Monitoring Under ILRP Order R5-2008-005, November 30th 2010 Submittal , Semi Annual, Sample Dates Mar10-Aug10",,,,,
CEDEN,California State Water Resources Control Board,SJC_WY16_Q4,"SJC, Order R5-2014-0029, Mar 1st 2017, WY16, Q4","San Joaquin County and Delta Water Quality Coalition Monitoring Under ILRP Order R5-2008-005, March 1st 2017 Submittal, Water Year 2016, Quarter 4, Sampling Dates Jul-Sep 2016",,,,,
CEDEN,California State Water Resources Control Board,SJC_WY16_Q3,"SJC, Order R5-2014-0029, Dec 1st 2016, WY16, Q3","San Joaquin County and Delta Water Quality Coalition Monitoring Under ILRP Order R5-2008-005, December 1st 2016 Submittal, Water Year 2016, Quarter 3, Sampling Dates Apr-Jun 2016",,,,,
CEDEN,California State Water Resources Control Board,SJC_WY16_Q2,"SJC, Order R5-2014-0029, Sep 1st 2016, WY16, Q2","San Joaquin County and Delta Water Quality Coalition Monitoring Under ILRP Order R5-2008-005, September 1st 2016 Submittal, Water Year 2016, Quarter 2, Sampling Dates Jan-Mar 2016",,,,,
CEDEN,California State Water Resources Control Board,96RMP2ST,1996 RMP Status and Trends,1996 Regional Monitoring Project Status and Trends,,,RMP QAPP 1999,,
